                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0617,                 2.0163,                 1.2392,                0.95345,                0.66932,                0.91853,                0.64041,                0.87225,                 2.8181,                 1.1508,                0.00064,                0.00064,                0.00064
                      2,                0.86589,                 1.2644,                 1.0949,                0.96916,                0.75163,                0.90702,                0.68793,                0.91565,                 2.4993,                 1.1599,              0.0012871,              0.0012871,              0.0012871
                      3,                0.85192,                  1.151,                 1.0894,                0.71439,                0.80107,                0.81485,                0.51319,                 1.1847,                 2.0074,                 1.3109,              0.0019212,              0.0019212,              0.0019212
                      4,                0.90597,                 1.1119,                 1.1394,                0.82548,                 0.5817,                0.71385,                0.41635,                 1.3472,                 2.1709,                 1.7239,              0.0019406,              0.0019406,              0.0019406
                      5,                0.85782,                0.96353,                 1.1191,                0.85263,                0.83007,                0.89625,                0.62534,                0.99634,                 1.8213,                 1.2525,              0.0019406,              0.0019406,              0.0019406
                      6,                0.78972,                0.86626,                 1.0878,                0.73871,                0.53588,                0.65442,                0.50307,                 1.0344,                 1.9831,                 1.3468,              0.0019208,              0.0019208,              0.0019208
                      7,                0.76857,                0.79778,                 1.0852,                0.97264,                0.92938,                0.97629,                0.76337,                0.85476,                 0.8879,                 1.1753,               0.001901,               0.001901,               0.001901
                      8,                0.76072,                 0.7464,                 1.0742,                0.83173,                0.73856,                0.85721,                0.58667,                0.97756,                 1.2034,                 1.2237,              0.0018812,              0.0018812,              0.0018812
                      9,                0.71428,                0.67175,                 1.0381,                 0.9421,                0.95715,                0.96856,                0.78239,                0.83363,                0.72149,                  1.156,              0.0018614,              0.0018614,              0.0018614
                     10,                0.71223,                0.66134,                 1.0385,                0.92833,                0.98039,                0.98486,                0.81923,                0.67076,                0.59659,                 1.0136,              0.0018416,              0.0018416,              0.0018416
                     11,                 0.7253,                0.62096,                 1.0608,                 0.9197,                0.97321,                0.98246,                0.78557,                 0.7846,                0.69217,                 1.0813,              0.0018218,              0.0018218,              0.0018218
                     12,                0.66834,                0.59155,                 1.0103,                0.97726,                0.97386,                  0.992,                0.84683,                0.63738,                0.51674,                0.99809,               0.001802,               0.001802,               0.001802
                     13,                0.70368,                0.60204,                 1.0367,                0.95767,                0.92157,                0.97341,                0.84756,                0.61443,                0.55459,                 1.0128,              0.0017822,              0.0017822,              0.0017822
                     14,                0.66832,                0.56358,                 1.0148,                0.98681,                0.97811,                0.99355,                0.85648,                0.59482,                 0.4842,                0.98268,              0.0017624,              0.0017624,              0.0017624
                     15,                0.67115,                0.56143,                  1.028,                0.97286,                0.98693,                0.99398,                0.83283,                0.66613,                0.50135,                 1.0082,              0.0017426,              0.0017426,              0.0017426
                     16,                0.64601,                0.54334,                 1.0013,                0.96115,                0.97015,                0.98628,                0.83271,                0.65154,                0.52711,                 1.0043,              0.0017228,              0.0017228,              0.0017228
                     17,                0.64084,                0.52544,                 1.0038,                0.98735,                0.94771,                0.98397,                 0.6201,                 1.1016,                 0.6937,                 1.3936,               0.001703,               0.001703,               0.001703
